"投開票所編號",設置地點,詳細地址,"所轄選舉人里鄰別","所轄原住民 選舉人里鄰別",電話號碼,備註
"296","中華電信國際電信分公司(臺北衛星通訊心)","菁山路127之15號","菁山里5-10","28620070",
"297","平等國小四年級教室","平菁街101號","平等里全里","平等里全里","28610503",
"298","溪山里里民活動場所","至善路3段258號旁","溪山里全里","溪山里全里","28411119",
"299","雙溪國小6年甲班教室(請由明溪街進入)","中社路2段66號","翠山里1-7","28411038",
"300","雙溪中央社區發展協會","中社路1段36巷2-1號","翠山里8-12","翠山里全里","28412197",
"301","臨溪區民活動中心（衛理女中對面）","至善路2段286號","臨溪里1-7","28819429",
"302","至善國中夜自習教室","至善路2段360號","臨溪里8-12","臨溪里全里","28414350",
"303","西湖國小合作社","環山路1段25號","西湖里1-8","2797-1267",
"304","西湖國小校史室","環山路1段25號","西湖里9-16","2797-1267",
"305","西湖國中學習輔導中心(四)","環山路1段27號","西湖里17-25","2799-1817轉318",
"306","西湖國中8年1班","環山路1段27號","西湖里26-33","西湖里全里","2799-1817轉318",
"307","文湖國小1年1班教室","文湖街15號","西康里1-4、27","2658-3515轉1071",
"308","文湖國小1年2班教室","文湖街15號","西康里6-10、13、18","2658-3515轉1071",
"309","文湖國小2年2班教室","文湖街15號","西康里5、11-12、14","2658-3515轉1071",
"310","西湖國中慈心園","環山路1段27號","西康里15-17、19-20","2799-1817轉310",
"311","西湖國中學習輔導中心(三)","環山路1段27號","西康里21-26","西康里全里","2799-1817轉310",
"312","德明財經科技大學第二閱覽室(1)","環山路1段56號","西安里1-9","2658-5801",
"313","德明財經科技大學第二閱覽室(2)","環山路1段56號","西安里10-14","2658-5801",
"314","德明財經科技大學第二閱覽室(3)","環山路1段56號","西安里15-19","2658-5801",
"315","德明財經科技大學衛生教育室A104","環山路1段56號","西安里20-23","西安里全里","2658-5801",
"316","港墘區民活動中心","內湖路1段552號","港墘里1-4、13-14、19、22","0972-295503",
